id,keyword,phonetic_code
277,cold-case,C4322
278,private-investigator,P6135
279,organized-crime,O6252
280,vigilante,V2453
281,witness-protection,W3521
282,undercover,U5362
283,ransom,R525
284,menacing-heist,M5252
285,menacing-serial-killer,M5252
286,cynical-detective,C5243
287,somber-mafia,S5165
288,espionage,E2152
289,earnest-social-issue,E6523
290,investigative,I5123
291,travelogue,T6142
292,reflective-biographical,R1423
293,medical,M324
294,scientific,S5312
295,educational,E3235
296,historical,H2362
297,earnest-investigative,E6523
298,music-history,M2223
299,biographical,B2612
300,sports-profile,S1632
301,serious-investigative,S6251
302,observational,O1261
303,sober-political,S1614
304,art-profile,A6316
305,earnest-biographical,E6523
306,sober-biographical,S1612
307,investigative-journalism,I5123
308,technological,T2542
309,serious-political,S6214
310,true-crime,T6265
311,earnest-historical,E6523
312,environmental,E5165
313,earnest-nature,E6523
314,reflective-historical,R1423
315,reflective-investigative,R1423
316,sober-social-issue,S1622
317,sober-investigative,S1651
318,political,P4324
319,sober-historical,S1623
320,social-issue,S242
321,reflective-social-issue,R1423
322,earnest-political,E6523
323,sober-nature,S1653
324,reflective-political,R1423
325,cultural-anthropology,C4364
326,serious-social-issue,S6224
327,war-correspondence,W6262
328,serious-nature,S6253
329,personal-essay,P6254
330,serious-biographical,S6212
331,nature,N36
332,reflective-nature,R1423
333,serious-historical,S6223
334,talking-heads,T4252
335,human-interest,H5553
336,existential,E2235
337,psychological-study,P2242
338,class-struggle,C4236
339,melodrama,M4365
340,romantic-drama,R5532
341,biopic,B12
342,heavy-melodrama,H1543
343,identity-crisis,I3533
344,workplace-drama,W6214
345,introspective-melodrama,I5362
346,medical-drama,M3243
347,melancholic-psychological-study,M4524
348,somber-social-realism,S5162
349,social-realism,S2464
350,somber-period-piece,S5161
351,melancholic-period-piece,M4524
352,war-drama,W6365
353,family-saga,F5422
354,heavy-family-saga,H1154
355,somber-psychological-study,S5161
356,addiction-recovery,A3235
357,moral-dilemma,M6434
358,introspective-family-saga,I5362
359,legal-drama,L2436
360,tragedy,T623
361,political-drama,P4324
362,heavy-social-realism,H1224
363,introspective-psychological-study,I5362
364,heavy-period-piece,H1163
365,somber-character-study,S5162
366,period-piece,P6312
367,generational-conflict,G5635
368,melancholic-family-saga,M4524
369,heavy-psychological-study,H1122
370,heavy-character-study,H1262
371,melancholic-melodrama,M4524
372,introspective-character-study,I5362
373,character-study,C6236
374,domestic,D5232
375,grief-counseling,G6125
376,religious,R422
377,introspective-period-piece,I5362
378,melancholic-social-realism,M4524
379,melancholic-character-study,M4524
380,somber-family-saga,S5161
381,somber-melodrama,S5165
382,introspective-social-realism,I5362
383,youth-adventure,Y3315
384,nostalgic-summer-vacation,N2342
385,innocent-school-life,I5253
386,pet-companion,P3251
387,animated-feature,A5533
388,cheerful-sibling-rivalry,C6142
389,orphan-protagonist,O6151
390,parent-child-bond,P6532
391,uplifting-school-life,U1413
392,nostalgic-school-life,N2342
393,uplifting-sibling-rivalry,U1413
394,family-road-trip,F5463
395,innocent-sibling-rivalry,I5253
396,cheerful-summer-vacation,C6142
397,nostalgic-parent-child-bond,N2342
398,cheerful-parent-child-bond,C6141
399,sports-team,S1632
400,cheerful-animated-feature,C6145
401,nostalgic-sibling-rivalry,N2342
402,cheerful-school-life,C6142
403,summer-camp,S5625
404,school-project,S4162
405,grandparent-wisdom,G6531
406,uplifting-animated-feature,U1413
407,innocent-parent-child-bond,I5253
408,uplifting-summer-vacation,U1413
409,uplifting-coming-of-age,U1413
410,innocent-animated-feature,I5253
411,innocent-summer-vacation,I5253
412,uplifting-parent-child-bond,U1413
413,holiday-tradition,H4336
414,neighborhood-mystery,N2163
415,summer-vacation,S5612
416,cheerful-coming-of-age,C6142
417,nostalgic-coming-of-age,N2342
418,magical-creature,M2242
419,sibling-rivalry,S1452
420,nostalgic-animated-feature,N2342
421,school-life,S41
422,innocent-coming-of-age,I5253
423,awe-inspiring-mythical-beast,A5216
424,ethereal-enchanted-forest,E3645
425,medieval-setting,M3142
426,mysterious-mythical-beast,M2362
427,mysterious-cursed-artifact,M2362
428,dramatic-hidden-realm,D6532
429,dramatic-cursed-artifact,D6532
430,mythical-beast,M3241
431,dark-sorcery,D6262
432,chosen-one,C255
433,mysterious-enchanted-forest,M2362
434,mysterious-ancient-prophecy,M2362
435,hidden-realm,H3564
436,mysterious-hidden-realm,M2362
437,immortal-being,I5634
438,supernatural-power,S1653
439,enchanted-forest,E5253
440,legendary-sword,L2536
441,mythological-gods,M3422
442,awe-inspiring-cursed-artifact,A5216
443,dramatic-ancient-prophecy,D6532
444,awe-inspiring-enchanted-forest,A5216
445,cursed-artifact,C6236
446,magic-system,M2223
447,mysterious-magic-system,M2362
448,awe-inspiring-ancient-prophecy,A5216
449,parallel-dimension,P6443
450,fabled-kingdom,F1432
451,ethereal-hidden-realm,E3643
452,quest-narrative,Q2356
453,ethereal-magic-system,E3645
454,dramatic-enchanted-forest,D6532
455,awe-inspiring-magic-system,A5216
456,ethereal-ancient-prophecy,E3645
457,ethereal-cursed-artifact,E3642
458,awe-inspiring-hidden-realm,A5216
459,dramatic-magic-system,D6532
460,dramatic-mythical-beast,D6532
461,alchemy,A425
462,ancient-prophecy,A5253
463,ethereal-mythical-beast,E3645
464,elemental-magic,E4553
465,shadowy-alley,S34
466,gloomy-betrayal,G4513
467,tense-cynical-narrator,T5225
468,urban-underworld,U6155
469,gloomy-urban-underworld,G4561
470,melancholy-cynical-narrator,M4524
471,betrayal,B364
472,black-and-white,B4253
473,suspenseful-cynical-narrator,S2152
474,cynical-narrator,C5245
475,suspenseful-betrayal,S2152
476,heist-gone-wrong,H2325
477,tense-betrayal,T5213
478,dame-in-distress,D5532
479,melancholy-femme-fatale,M4524
480,gloomy-private-investigator,G4516
481,femme-fatale,F5134
482,vengeance,V5252
483,gloomy-cynical-narrator,G4525
484,somber-political-upheaval,S5161
485,reflective-ancient-civilization,R1423
486,somber-industrial-revolution,S5165
487,intellectual-ancient-civilization,I5342
488,period-costume,P6322
489,intellectual-biographical-account,I5342
490,reconstruction-era,R2523
491,intellectual-political-upheaval,I5342
492,serious-war-campaign,S6262
493,royal-court,R4263
494,scientific-discovery,S5312
495,serious-industrial-revolution,S6253
496,reflective-biographical-account,R1423
497,reflective-political-upheaval,R1423
498,political-upheaval,P4324
499,intellectual-royal-court,I5342
500,intellectual-war-campaign,I5342
501,somber-royal-court,S5164
502,monarch-reign,M5626
503,landmark-event,L5356
504,industrial-revolution,I5323
505,dynastic-struggle,D5232
506,somber-ancient-civilization,S5165
507,colonization,C4523
508,serious-biographical-account,S6212
509,reflective-war-campaign,R1423
510,serious-political-upheaval,S6214
511,war-campaign,W6251
512,biographical-account,B2612
513,serious-royal-court,S6264
514,somber-war-campaign,S5166
515,diplomatic-mission,D1453
516,reflective-industrial-revolution,R1423
517,serious-ancient-civilization,S6252
518,menacing-supernatural entity,M5252
519,dread-found footage,D6315
520,zombie outbreak,Z5131
521,dread-supernatural entity,D6321
522,menacing-found footage,M5252
523,nightmare sequence,N2356
524,supernatural entity,S1653
525,tense-found footage,T5215
526,dread-slasher,D6324
527,slasher,S426
528,tense-supernatural entity,T5221
529,dread-haunted asylum,D6353
530,urban legend,U6154
531,isolated cabin,I2433
532,unsettling-haunted asylum,U5234
533,body horror,B366
534,occult ritual,O2436
535,gothic mansion,G3255
536,menacing-isolated cabin,M5252
537,tense-isolated cabin,T5224
538,menacing-demonic possession,M5252
539,supernatural thriller,S1653
540,unsettling-slasher,U5234
541,paranormal investigation,P6565
542,eldritch terror,E4363
543,dread-isolated cabin,D6324
544,demonic possession,D5521
545,tense-haunted asylum,T5253
546,menacing-slasher,M5252
547,serial killer,S6424
548,menacing-haunted asylum,M5252
549,claustrophobic setting,C4236
550,survival horror,S6114
551,haunted asylum,H5332
552,unsettling-found footage,U5234
553,slasher villain,S4261
554,unsettling-demonic possession,U5234
555,dread-demonic possession,D6355
556,folk horror,F4266
557,found footage,F5313
558,psychological breakdown,P2242
559,tense-demonic possession,T5235
560,creature feature,C6361
561,unsettling-supernatural entity,U5234
562,unsettling-isolated cabin,U5234
563,home invasion,H5512
564,tense-slasher,T5224
565,cursed artifact,C6236
566,inspirational-music industry exposé,I5216
567,nostalgic-music industry exposé,N2342
568,nostalgic-tour footage,N2342
569,music festival,M2212
570,instrumental mastery,I5236
571,record label politics,R2634
572,rhythmic-studio recording session,R3523
573,energetic-backstage access,E5623
574,world tour,W6436
575,nostalgic-biographical documentary,N2342
576,inspirational-backstage access,I5216
577,inspirational-studio recording session,I5216
578,energetic-concert film,E5623
579,nostalgic-concert film,N2342
580,energetic-music industry exposé,E5623
581,rhythmic-biographical documentary,R3521
582,rhythmic-tour footage,R3523
583,nostalgic-studio recording session,N2342
584,nostalgic-backstage access,N2342
585,concert film,C5263
586,inspirational-biographical documentary,I5216
587,studio recording session,S3362
588,archival footage,A6214
589,energetic-studio recording session,E5623
590,energetic-tour footage,E5623
591,inspirational-concert film,I5216
592,live performance,L1161
593,vocal performance,V2416
594,rhythmic-concert film,R3525
595,rhythmic-backstage access,R3521
596,backstage access,B2322
597,energetic-biographical documentary,E5623
598,songwriting process,S5263
599,fan culture,F5243
600,theatrical-original song score,T3624
601,sentimental-ensemble cast,S5355
602,sentimental-theatrical stage adaptation,S5355
603,theatre troupe,T3636
604,theatrical-theatrical stage adaptation,T3624
605,vibrant-backstage drama,V1653
606,uplifting-dance choreography,U1413
607,theatrical stage adaptation,T3624
608,uplifting-backstage drama,U1413
609,uplifting-original song score,U1413
610,showtune,S35
611,vibrant-theatrical stage adaptation,V1653
612,sentimental-dance choreography,S5355
613,original song score,O6254
614,sentimental-backstage drama,S5355
615,orchestral arrangement,O6223
616,vocal ensemble,V2452
617,uplifting-theatrical stage adaptation,U1413
618,dance choreography,D5226
619,red herring,R3652
620,cold case,C4322
621,tense-detective investigation,T5233
622,secret society,S2632
623,hidden motive,H3531
624,conspiracy theory,C5216
625,tense-unreliable narrator,T5256
626,cynical-unreliable narrator,C5245
627,police procedural,P4216
628,enigmatic-detective investigation,E5253
629,forensic evidence,F6522
630,enigmatic-locked room puzzle,E5253
631,enigmatic-whodunit,E5253
632,missing person,M2521
633,tense-cold case,T5224
634,suspenseful-private investigator,S2152
635,crime scene analysis,C6525
636,interrogation scene,I5362
637,suspenseful-whodunit,S2152
638,enigmatic-private investigator,E5253
639,suspenseful-unreliable narrator,S2152
640,enigmatic-unreliable narrator,E5253
641,unreliable narrator,U5641
642,noir atmosphere,N6352
643,tense-locked room puzzle,T5242
644,suspenseful-detective investigation,S2152
645,whodunit,W353
646,enigmatic-cold case,E5253
647,private investigator,P6135
648,detective investigation,D3231
649,tense-whodunit,T5235
650,suspenseful-cold case,S2152
651,suspenseful-locked room puzzle,S2152
652,cynical-detective investigation,C5243
653,amateur sleuth,A5362
654,cynical-locked room puzzle,C5242
655,clue discovery,C4321
656,locked room puzzle,L2365
657,cynical-private investigator,C5241
658,cynical-whodunit,C5243
659,cynical-cold case,C5242
660,tense-private investigator,T5216
661,wedding planning,W3521
662,arranged marriage,A6523
663,secret admirer,S2633
664,fake dating,F2335
665,sentimental-forbidden love,S5355
666,second chance,S2532
667,intimate-love triangle,I5353
668,love triangle,L1365
669,blind date,B4533
670,childhood sweethearts,C4332
671,heartwarming-childhood sweethearts,H6365
672,heartwarming-love triangle,H6365
673,wistful-childhood sweethearts,W2314
674,wistful-mistaken identity,W2314
675,sentimental-love triangle,S5355
676,unrequited love,U5623
677,intimate-arranged marriage,I5353
678,heartwarming-arranged marriage,H6365
679,heartwarming-long-distance relationship,H6365
680,long-distance relationship,L5232
681,heartwarming-forbidden love,H6365
682,slow burn,S4165
683,forbidden love,F6135
684,wistful-forbidden love,W2314
685,sentimental-arranged marriage,S5355
686,wistful-arranged marriage,W2314
687,reunion,R55
688,summer fling,S5614
689,intimate-mistaken identity,I5353
690,soulmates,S4532
691,wistful-love triangle,W2314
692,wistful-long-distance relationship,W2314
693,intimate-forbidden love,I5353
694,sentimental-childhood sweethearts,S5355
695,intimate-childhood sweethearts,I5353
696,enemies to lovers,E5523
697,office romance,O1265
698,sentimental-long-distance relationship,S5355
699,mistaken identity,M2325
700,heartwarming-mistaken identity,H6365
701,sentimental-mistaken identity,S5355
702,intimate-long-distance relationship,I5353
703,artificial intelligence,A6312
704,virtual reality,V6346
705,multiverse,M4316
706,clinical-cyborg,C4524
707,nanotechnology,N5325
708,parallel dimension,P6443
709,ominous-dystopian future,O5523
710,speculative-cyborg,S1243
711,clinical-interstellar travel,C4524
712,cerebral-artificial intelligence,C6164
713,speculative-interstellar travel,S1243
714,warp drive,W6136
715,speculative-artificial intelligence,S1243
716,time loop,T541
717,genetic engineering,G5325
718,ominous-extraterrestrial contact,O5522
719,extraterrestrial contact,E2363
720,cerebral-genetic engineering,C6164
721,clinical-dystopian future,C4524
722,ominous-cyborg,O5521
723,cerebral-dystopian future,C6164
724,cyborg,C162
725,cerebral-cyborg,C6164
726,cerebral-extraterrestrial contact,C6164
727,clinical-genetic engineering,C4524
728,ominous-artificial intelligence,O5526
729,teleportation,T4163
730,space station,S1223
731,post-apocalyptic,P2312
732,ominous-interstellar travel,O5525
733,clinical-extraterrestrial contact,C4524
734,cerebral-interstellar travel,C6164
735,robotics,R132
736,speculative-genetic engineering,S1243
737,speculative-extraterrestrial contact,S1243
738,clinical-artificial intelligence,C4524
739,ominous-genetic engineering,O5525
740,time travel,T5361
741,dystopian future,D2315
742,space exploration,S1221
743,speculative-dystopian future,S1243
744,interstellar travel,I5362
745,gritty-doping scandal,G6331
746,underdog story,U5363
747,gritty-injury recovery,G6352
748,triumphant-coaching rivalry,T6515
749,energetic-championship final,E5623
750,doping scandal,D1525
751,recruitment,R2635
752,coaching rivalry,C2526
753,team building,T5143
754,gritty-coaching rivalry,G6322
755,energetic-coaching rivalry,E5623
756,determined-championship final,D3655
757,triumphant-doping scandal,T6515
758,sports agent,S1632
759,determined-injury recovery,D3655
760,training montage,T6552
761,determined-underdog story,D3655
762,championship final,C5152
763,retirement,R3655
764,injury recovery,I5266
765,energetic-olympic games,E5623
766,professional league,P6125
767,olympic games,O4512
768,victory lap,V2364
769,triumphant-championship final,T6515
770,hall of fame,H415
771,energetic-doping scandal,E5623
772,triumphant-olympic games,T6515
773,scouting,S352
774,triumphant-underdog story,T6515
775,determined-coaching rivalry,D3655
776,determined-olympic games,D3655
777,gritty-olympic games,G6345
778,transfer market,T6521
779,stalker,S3426
780,paranoiac-heist,P6522
781,urgent-assassination attempt,U6253
782,ticking clock,T2524
783,menacing-blackmail,M5252
784,manhunt,M553
785,urgent-heist,U6253
786,anxious-heist,A5222
787,witness protection,W3521
788,political corruption,P4324
789,paranoiac-detective investigation,P6523
790,menacing-conspiracy theory,M5252
791,menacing-assassination attempt,M5252
792,hostage situation,H2322
793,urgent-espionage,U6253
794,menacing-espionage,M5252
795,anxious-conspiracy theory,A5225
796,menacing-detective investigation,M5252
797,cyber-attack,C1632
798,anxious-espionage,A5222
799,anxious-detective investigation,A5223
800,paranoiac-assassination attempt,P6522
801,urgent-blackmail,U6253
802,urgent-conspiracy theory,U6253
803,anxious-blackmail,A5221
804,undercover operation,U5362
805,anxious-assassination attempt,A5222
806,murder mystery,M6365
807,wrongful accusation,W6521
808,paranoiac-conspiracy theory,P6525
809,blackmail,B4254
810,paranoiac-espionage,P6522
811,paranoiac-blackmail,P6521
812,kidnapping,K3515
813,urgent-detective investigation,U6253
814,somber-frontline combat,S5161
815,naval blockade,N1414
816,visceral-trench warfare,V2643
817,military tribunal,M4363
818,tense-artillery strike,T5263
819,peacekeeping operation,P2215
820,special forces raid,S1241
821,tense-frontline combat,T5216
822,visceral-military occupation,V2645
823,insurgent cell,I5262
824,trench warfare,T6526
825,bleak-military occupation,B4254
826,military occupation,M4362
827,guerilla insurgency,G6452
828,somber-infantry battalion,S5165
829,visceral-artillery strike,V2646
830,infantry battalion,I5153
831,tense-military occupation,T5254
832,tense-reconnaissance mission,T5262
833,austere-outlaw gang,A2363
834,mining camp,M5525
835,austere-gold rush,A2362
836,stagecoach robbery,S3222
837,gritty-gold rush,G6324
838,cynical-outlaw gang,C5243
839,melancholic-cattle drive,M4524
840,frontier town,F6536
841,austere-frontier town,A2361
842,telegraph station,T4261
843,cavalry outpost,C1463
844,austere-sheriff badge,A2362
845,gold rush,G4362
846,saloon brawl,S4516
847,gritty-outlaw gang,G6334
848,gritty-sheriff badge,G6326
849,frontier justice,F6536
850,sheriff badge,S6132
851,dry goods store,D6232
852,citywide crisis,C3326
853,dramatic-secret identity,D6532
854,secret headquarters,S2633
855,dramatic-superhuman ability,D6532
856,triumphant-costumed vigilante,T6515
857,epic-origin story,E1262
858,gadget laboratory,G3234
859,triumphant-arch-nemesis,T6515
860,heroic sacrifice,H6226
861,masked crusader,M2326
862,superhuman ability,S1655
863,kinetic-superhuman ability,K5321
864,secret identity,S2633
865,epic-superhuman ability,E1216
866,invulnerability,I5145
867,dramatic-arch-nemesis,D6532
868,epic-secret identity,E1226
869,triumphant-metropolis destruction,T6515
870,kinetic-origin story,K5326
871,kinetic-metropolis destruction,K5325
872,epic-costumed vigilante,E1223
873,triumphant-origin story,T6515
874,costumed vigilante,C2353
875,epic-metropolis destruction,E1253
876,dramatic-metropolis destruction,D6532
877,triumphant-secret identity,T6515
878,kinetic-secret identity,K5322
879,origin story,O6252
880,team assembly,T5251
881,mutant genetics,M3532
882,dramatic-costumed vigilante,D6532
883,sidekick mentorship,S3225
884,public rescue,P1426
885,metropolis destruction,M3614
886,alien artifact,A4563
887,triumphant-superhuman ability,T6515
888,energy projection,E5621
889,supernatural pact,S1653
890,dramatic-origin story,D6532
891,cosmic threat,C2523
892,technological suit,T2542
893,power dampening,P6351
894,kinetic-arch-nemesis,K5326
895,supervillain lair,S1614
896,arch-nemesis,A6255
897,kinetic-costumed vigilante,K5322
898,epic-arch-nemesis,E1262
899,pressure point strike,P6261
900,tournament bracket,T6555
901,visceral-sword fighting,V2642
902,underground fight club,U5362
903,honor code,H5623
904,rhythmic-dojo training,R3523
905,rhythmic-secret technique,R3522
906,rhythmic-hand-to-hand combat,R3525
907,visceral-dojo training,V2643
908,disciplined-hand-to-hand combat,D2145
909,intense-sword fighting,I5352
910,street brawling,S3631
911,disciplined-master-student bond,D2145
912,rhythmic-master-student bond,R3525
913,visceral-secret technique,V2642
914,tournament champion,T6555
915,sword fighting,S6312
916,disciplined-secret technique,D2145
917,quarantine zone,Q6535
918,urgent-supervolcano eruption,U6253
919,tectonic plate,T2352
920,civil unrest,C1456
921,urgent-grid failure,U6253
922,emergency broadcast,E5625
923,survival gear,S6114
924,visceral-supervolcano eruption,V2642
925,visceral-pandemic outbreak,V2641
926,pandemic outbreak,P5352
927,infrastructure collapse,I5162
928,emergency response,E5625
929,nuclear meltdown,N2465
930,supervolcano eruption,S1614
931,seismic activity,S2522
932,harrowing-pandemic outbreak,H6521
933,urgent-tsunami impact,U6253
934,harrowing-tsunami impact,H6523
935,enigmatic-surrealist imagery,E5253
936,disturbing-non-linear narrative,D2361
937,cerebral-found footage,C6164
938,enigmatic-avant-garde score,E5253
939,improvisational performance,I5161
940,cerebral-surrealist imagery,C6164
941,enigmatic-abstract cinematography,E5253
942,unconventional framing,U5251
943,symbolic montage,S5142
944,non-linear narrative,N5456
945,cerebral-avant-garde score,C6164
946,visual poetry,V2413
947,narrative ambiguity,N6315
948,cerebral-abstract cinematography,C6164
949,sensory overload,S5261
950,meta-commentary,M3255
951,hypnotic-avant-garde score,H1532
952,transcendental style,T6525
953,festival circuit,F2314
954,focused conflict,F2232
955,character-centric,C6236
956,micro-budget,M2613
957,witty-limited cast,W3453
958,visual storytelling,V2423
959,anthology entry,A5342
960,contained timeline,C5353
961,witty-festival circuit,W3123
962,poignant-narrative vignette,P2553
